Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC      dEAB     dEpsC
  1 27.8  0.36  0.0  823.7 0.564 141.9  48.75 -3.92e+06   27.84  0.77    9.8   99972.8   3.3e+04  -4961.88   7.63  124.9     7.0        - 6.21502  ejected      -549 -1.49e+06
  1 25.5 0.361  0.0  141.4 0.038  89.6  44.91 -3.97e+07   22.78  0.97   12.7     303.1 -5.81e+06    165.15   0.89  104.2     9.0        -     9.0        -  1.72e+07  6.89e+06
  1 26.7 0.065  0.0  138.0 0.383  60.8    nan  8.15e+05 -133.98 317.05   79.2       nan       nan       nan    nan    nan 6.01828  ejected     7.0        -  4.91e+06       nan
  1 26.8 0.115  0.0  166.5 0.521  66.6  17.31 -4.08e+06   26.77  0.38    2.3   99296.3  9.77e+04  -1675.84   2.99  151.0     7.0        - 6.12302  ejected -3.16e+03  -5.7e+05
  1 23.4 0.144  0.0   42.5 0.276  69.0    nan       inf    -0.0   nan    nan       nan       nan       nan    nan    nan 4.26039  ejected   4.354  ejected       inf       nan
  1 24.2  0.24  0.0  179.2 0.403 168.7   28.5 -5.95e+06   18.35  0.55   16.0   99668.1  1.06e+05  -1543.87   1.04   23.2     7.0        - 6.46592  ejected -1.43e+06  1.07e+06
  1 24.9 0.081  0.0  600.1 0.563  98.1  32.93 -4.38e+06   24.91  0.38    5.4   99735.9  4.41e+04  -3709.23   4.58   91.8     7.0        - 6.28427  ejected -1.77e+03 -7.74e+05
  1 23.5 0.484  0.0  170.8 0.376 129.9  33.65 -4.67e+06   23.39  0.48   96.1     389.5 -6.36e+05    257.54   0.54  120.5     9.0        -     9.0        - -1.74e+04 -9.87e+03
  1 24.2 0.477  0.0  419.2 0.726 119.1  28.64 -4.51e+06   24.19  0.52   50.5     608.7 -3.13e+05     522.6   0.31   29.7     9.0        -     9.0        -      -462  1.52e+03
  1 24.1 0.328  0.0  206.5 0.469 109.2   41.2 -4.54e+06   24.03  0.83   17.5   99933.2  3.02e+05   -542.46  20.12  123.6     6.0        - 5.96918  ejected -2.46e+03 -1.05e+06
  1 27.6 0.366  0.0  233.5  0.35  12.9  47.33 -3.96e+06   27.55  0.73   12.1   99185.8  1.55e+05  -1056.89  20.55  157.6     7.0        - 6.07093  ejected -3.12e+03 -1.23e+06
  1 25.1  0.01  0.0  164.0 0.309 139.1    nan       inf    -0.0   nan    nan       nan       nan       nan    nan    nan 4.15778  ejected 4.32685  ejected       inf       nan
